created_at,tweets,topic,frame,topic_justification,frame_justification,sentiment
2024-10-11 06:57:45+00:00,Maharashtra's digital future is safer with the 'Maha Cyber - Maharashtra Cyber Security Project!' @MahaCyber1,Law & Order / Corruption & Governance,Neutral,"Mentions security, which signals the 'Law & Order / Corruption & Governance' domain. The tweet’s core content revolves around this policy area.","No strong praise/criticism/promise signals detected. The wording reads informational or ceremonial, hence neutral.",0.6696
2024-11-26 10:39:09+00:00,"Thank you so much for the kind wishes, my friend Goa CM Dr. Pramod Sawant, BJP Goa President MP Sadanand Shet Tanavade, and Goa Assembly Speaker Ramesh Tawadkar ji. @DrPramodPSawant @ShetSadanand @rameshtawadkar",Public Services & Urban Civic,Neutral,Keywords and phrasing align with 'Public Services & Urban Civic'. The tweet’s main focus is most consistent with this policy area.,"No strong praise/criticism/promise signals detected. The wording reads informational or ceremonial, hence neutral.",0.8658
2024-10-28 20:06:45+00:00,My complete interaction at Tv9 Bharatvarsh - What India Thinks Today (WITT) - Satta Sammelan Maharashtra. @TV9Bharatvarsh @hemantsharma360,Public Services & Urban Civic,Neutral,Keywords and phrasing align with 'Public Services & Urban Civic'. The tweet’s main focus is most consistent with this policy area.,"No strong praise/criticism/promise signals detected. The wording reads informational or ceremonial, hence neutral.",0.0
2024-10-27 06:35:57+00:00,"Some photos/visuals from nomination filing process for South West Nagpur assembly constituency, for",Elections & Campaigning,Neutral,"Mentions constituency, nomination, which signals the 'Elections & Campaigning' domain. The tweet’s core content revolves around this policy area.","No strong praise/criticism/promise signals detected. The wording reads informational or ceremonial, hence neutral.",0.0
2024-10-23 10:12:11+00:00,"Namo Bharat trains are transforming New India's railways, connecting 4 million travellers across 42 km with cutting-edge local solutions. A new era of innovation and progress is here! @narendramodi",Infrastructure & Transport,Neutral,"Mentions railway, which signals the 'Infrastructure & Transport' domain. The tweet’s core content revolves around this policy area.","No strong praise/criticism/promise signals detected. The wording reads informational or ceremonial, hence neutral.",0.75
2024-10-22 10:00:15+00:00,"Hare Krishna ! When our Hon PM Narendra Modi ji gets warmly welcomed by these chants in Kazan, Russia.. @narendramodi",Law & Order / Corruption & Governance,Neutral,"Mentions ed , which signals the 'Law & Order / Corruption & Governance' domain. The tweet’s core content revolves around this policy area.","No strong praise/criticism/promise signals detected. The wording reads informational or ceremonial, hence neutral.",0.6588
2024-12-09 17:45:19+00:00,Congratulations to Sanjay Malhotra ji for being appointed as the Governor of the Reserve Bank of India (RBI) ! Wishing you a great and successful tenure. @RBI,Law & Order / Corruption & Governance,Neutral,"Mentions ed , which signals the 'Law & Order / Corruption & Governance' domain. The tweet’s core content revolves around this policy area.","No strong praise/criticism/promise signals detected. The wording reads informational or ceremonial, hence neutral.",0.9324
2024-12-06 16:14:48+00:00,"Thank you so much for your kind words and blessings, Hon Rajnath Singh Ji ! We, the Govt will do our best. @rajnathsingh",Public Services & Urban Civic,Making promises,Keywords and phrasing align with 'Public Services & Urban Civic'. The tweet’s main focus is most consistent with this policy area.,"Future-tense commitment markers appear (e.g., 'will', 'guarantee', 'ensure'). The tweet frames the topic around pledged action.",0.9312
2024-12-03 11:25:11+00:00,"Thank you, @EktaaRKapoor for your wishes ! And yes, wishing the very best for the historic film !",Public Services & Urban Civic,Neutral,Keywords and phrasing align with 'Public Services & Urban Civic'. The tweet’s main focus is most consistent with this policy area.,"No strong praise/criticism/promise signals detected. The wording reads informational or ceremonial, hence neutral.",0.9149
2024-12-02 18:47:50+00:00,"RT @JPNadda: Thank you for your warm greetings, Shri @Dev_Fadnavis Ji.",Public Services & Urban Civic,Neutral,Keywords and phrasing align with 'Public Services & Urban Civic'. The tweet’s main focus is most consistent with this policy area.,"No strong praise/criticism/promise signals detected. The wording reads informational or ceremonial, hence neutral.",0.7351
2024-11-01 12:43:08+00:00,"exposed in detail by Hon PM @narendramodi ji ! This election, Maharashtra should make it a point and take extra efforts to not fall prey to such impractical, unrealistic, impossible promises which can never be kept.",Law & Order / Corruption & Governance,Neutral,"Mentions ed , which signals the 'Law & Order / Corruption & Governance' domain. The tweet’s core content revolves around this policy area.","No strong praise/criticism/promise signals detected. The wording reads informational or ceremonial, hence neutral.",0.3802
2024-10-31 16:40:33+00:00,RT @narendramodi: A memorable Diwali with our security personnel in a remote and inhospitable area in Kutch!,Law & Order / Corruption & Governance,Neutral,"Mentions security, which signals the 'Law & Order / Corruption & Governance' domain. The tweet’s core content revolves around this policy area.","No strong praise/criticism/promise signals detected. The wording reads informational or ceremonial, hence neutral.",0.4003
2024-12-23 05:38:36+00:00,"LIVE | Hon PM Modi Ji distributing 71,000+ Appointment Letters to newly appointed recruits through 'Rozgar Mela' @narendramodi","Economy, Jobs & Industry",Neutral,"Mentions rozgar, which signals the 'Economy, Jobs & Industry' domain. The tweet’s core content revolves around this policy area.","No strong praise/criticism/promise signals detected. The wording reads informational or ceremonial, hence neutral.",0.0
2024-11-19 09:40:59+00:00,RT @INCIndia: LIVE: Press briefing by Ms @SupriyaShrinate at AICC HQ.,Public Services & Urban Civic,Neutral,Keywords and phrasing align with 'Public Services & Urban Civic'. The tweet’s main focus is most consistent with this policy area.,"No strong praise/criticism/promise signals detected. The wording reads informational or ceremonial, hence neutral.",0.0
2024-11-15 07:03:22+00:00,"RT @INCIndia: LIVE: Shri @RahulGandhi addresses the public in Meharma, Jharkhand.",Public Services & Urban Civic,Neutral,Keywords and phrasing align with 'Public Services & Urban Civic'. The tweet’s main focus is most consistent with this policy area.,"No strong praise/criticism/promise signals detected. The wording reads informational or ceremonial, hence neutral.",0.0
2024-11-14 05:59:15+00:00,"RT @INCIndia: Farmers need help to thrive, not the burden of GST.",Agriculture & Farmers,Neutral,"Mentions farmer, which signals the 'Agriculture & Farmers' domain. The tweet’s core content revolves around this policy area.","No strong praise/criticism/promise signals detected. The wording reads informational or ceremonial, hence neutral.",0.6256
2024-11-13 08:06:12+00:00,"RT @INCIndia: LIVE: Congress President Shri @kharge addresses the public in Latur, Maharashtra.",Public Services & Urban Civic,Neutral,Keywords and phrasing align with 'Public Services & Urban Civic'. The tweet’s main focus is most consistent with this policy area.,"No strong praise/criticism/promise signals detected. The wording reads informational or ceremonial, hence neutral.",0.0
2024-11-22 14:28:27+00:00,RT @INCIndia: Adani Pe Aayi Baat To BJP De Rahi Saath,Public Services & Urban Civic,Neutral,Keywords and phrasing align with 'Public Services & Urban Civic'. The tweet’s main focus is most consistent with this policy area.,"No strong praise/criticism/promise signals detected. The wording reads informational or ceremonial, hence neutral.",0.0
2024-11-21 13:40:45+00:00,"RT @INCIndia: India's global reputation at stake, thanks to MODANI!",Public Services & Urban Civic,Neutral,Keywords and phrasing align with 'Public Services & Urban Civic'. The tweet’s main focus is most consistent with this policy area.,"No strong praise/criticism/promise signals detected. The wording reads informational or ceremonial, hence neutral.",0.4926
2024-12-08 14:13:09+00:00,"RT @Pawankhera: Japan is late by 10 years and 8 months. BJP got this machine in May, 2014",Public Services & Urban Civic,Neutral,Keywords and phrasing align with 'Public Services & Urban Civic'. The tweet’s main focus is most consistent with this policy area.,"No strong praise/criticism/promise signals detected. The wording reads informational or ceremonial, hence neutral.",0.0
2024-12-01 09:29:27+00:00,RT @INCIndia: LIVE: Shri @kharge addresses the Maha Rally to defend the Constitution at Ramleela Maidan | New Delhi,Elections & Campaigning,Neutral,"Mentions rally, which signals the 'Elections & Campaigning' domain. The tweet’s core content revolves around this policy area.","No strong praise/criticism/promise signals detected. The wording reads informational or ceremonial, hence neutral.",0.0
2024-11-30 11:17:20+00:00,"RT @INCIndia: LIVE: Smt @priyankagandhi addresses the public in Karulai, Nilambur, Kerala.",Public Services & Urban Civic,Neutral,Keywords and phrasing align with 'Public Services & Urban Civic'. The tweet’s main focus is most consistent with this policy area.,"No strong praise/criticism/promise signals detected. The wording reads informational or ceremonial, hence neutral.",0.0
2024-12-19 11:10:57+00:00,"RT @RahulGandhi: LIVE: Press Conference | AICC HQ, New Delhi",Public Services & Urban Civic,Neutral,Keywords and phrasing align with 'Public Services & Urban Civic'. The tweet’s main focus is most consistent with this policy area.,"No strong praise/criticism/promise signals detected. The wording reads informational or ceremonial, hence neutral.",0.0
2024-12-16 08:13:20+00:00,RT @kharge: LIVE: 75th Anniversary of the adoption of the Constitution of India in the Rajya Sabha.,Public Services & Urban Civic,Neutral,Keywords and phrasing align with 'Public Services & Urban Civic'. The tweet’s main focus is most consistent with this policy area.,"No strong praise/criticism/promise signals detected. The wording reads informational or ceremonial, hence neutral.",0.0
2024-12-14 12:13:57+00:00,RT @RahulGandhi: LIVE: Debate on the Constitution | Lok Sabha,Public Services & Urban Civic,Neutral,Keywords and phrasing align with 'Public Services & Urban Civic'. The tweet’s main focus is most consistent with this policy area.,"No strong praise/criticism/promise signals detected. The wording reads informational or ceremonial, hence neutral.",0.0
2024-12-28 06:18:59+00:00,RT @RahulGandhi: LIVE: Last rites of former PM Dr. Manmohan Singh Ji,Public Services & Urban Civic,Neutral,Keywords and phrasing align with 'Public Services & Urban Civic'. The tweet’s main focus is most consistent with this policy area.,"No strong praise/criticism/promise signals detected. The wording reads informational or ceremonial, hence neutral.",0.0
2024-12-26 13:36:21+00:00,"RT @INCIndia: ""Mahatma Gandhi's legacy is under threat from those in power in Delhi""",Public Services & Urban Civic,Neutral,Keywords and phrasing align with 'Public Services & Urban Civic'. The tweet’s main focus is most consistent with this policy area.,"No strong praise/criticism/promise signals detected. The wording reads informational or ceremonial, hence neutral.",-0.5267
2024-12-19 16:06:30+00:00,Attended the Christmas celebrations at the residence of Union Minister Shri George Kurian Ji. Also interacted with eminent members of the Christian community. @GeorgekurianBjp,Law & Order / Corruption & Governance,Neutral,"Mentions ed , which signals the 'Law & Order / Corruption & Governance' domain. The tweet’s core content revolves around this policy area.","No strong praise/criticism/promise signals detected. The wording reads informational or ceremonial, hence neutral.",0.0
2024-12-19 12:40:27+00:00,"Today, on Goa Liberation Day, we recall the bravery and determination of the great women and men who were actively involved in the movement to free Goa. Their valour motivates us to keep working for the betterment of Goa and the prosperity of the people of the state.",Welfare & Social Schemes,Neutral,"Mentions free, ration, which signals the 'Welfare & Social Schemes' domain. The tweet’s core content revolves around this policy area.","No strong praise/criticism/promise signals detected. The wording reads informational or ceremonial, hence neutral.",0.9393
2024-12-19 12:39:22+00:00,"It was a pleasure to speak with HM King Charles III today. Reaffirmed commitment to bolster India-UK ties. Exchanged views on issues of mutual interest, including the Commonwealth, climate action and sustainability. Wished him good health and wellbeing. @RoyalFamily",Law & Order / Corruption & Governance,Neutral,"Mentions ed , which signals the 'Law & Order / Corruption & Governance' domain. The tweet’s core content revolves around this policy area.","No strong praise/criticism/promise signals detected. The wording reads informational or ceremonial, hence neutral.",0.9042
2024-12-18 13:20:06+00:00,"Pleased to speak with PM Dick Schoof. The Netherlands is a trusted &amp; valued partner. We are committed to advance and provide strategic dimension to bilateral ties in diverse sectors including water, agriculture, security, technology, semiconductors and renewable energy. @MinPres",Law & Order / Corruption & Governance,Neutral,"Mentions ed , security, which signals the 'Law & Order / Corruption & Governance' domain. The tweet’s core content revolves around this policy area.","No strong praise/criticism/promise signals detected. The wording reads informational or ceremonial, hence neutral.",0.8807
2024-12-16 13:25:57+00:00,"India and Sri Lanka will also work together to strengthen the fight against terrorism and organised crime. Likewise, we will also focus on maritime security, cyber security and disaster relief.",Law & Order / Corruption & Governance,Making promises,"Mentions crime, ed , security, terror, which signals the 'Law & Order / Corruption & Governance' domain. The tweet’s core content revolves around this policy area.","Future-tense commitment markers appear (e.g., 'will', 'guarantee', 'ensure'). The tweet frames the topic around pledged action.",-0.765
2024-12-16 13:18:33+00:00,"It was indeed wonderful meeting you, President Anura Kumara Dissanayake. Your visit to India is going to add great momentum to the India-Sri Lanka friendship! @anuradisanayake",Law & Order / Corruption & Governance,Neutral,"Mentions ed , which signals the 'Law & Order / Corruption & Governance' domain. The tweet’s core content revolves around this policy area.","No strong praise/criticism/promise signals detected. The wording reads informational or ceremonial, hence neutral.",0.8999
2024-12-16 08:25:05+00:00,Addressing the press meet with President @anuradisanayake of Sri Lanka.,Foreign Policy & National Security,Neutral,"Mentions sri lanka, which signals the 'Foreign Policy & National Security' domain. The tweet’s core content revolves around this policy area.","No strong praise/criticism/promise signals detected. The wording reads informational or ceremonial, hence neutral.",0.0
2024-12-14 05:29:58+00:00,Shri Raj Kapoor was not just a filmmaker but a cultural ambassador who took Indian cinema to the global stage. Generations of filmmakers and actors can learn so much from him. I once again pay tributes to him and recall his contribution to the creative world.,Welfare & Social Schemes,Neutral,"Mentions ration, which signals the 'Welfare & Social Schemes' domain. The tweet’s core content revolves around this policy area.","No strong praise/criticism/promise signals detected. The wording reads informational or ceremonial, hence neutral.",0.5023
2024-12-14 05:29:57+00:00,The iconic characters and unforgettable melodies of Raj Kapoor films continue to resonate with audiences worldwide. People admire how his works highlight diverse themes with ease and excellence. The music of his films is also extremely popular.,Public Services & Urban Civic,Neutral,Keywords and phrasing align with 'Public Services & Urban Civic'. The tweet’s main focus is most consistent with this policy area.,"No strong praise/criticism/promise signals detected. The wording reads informational or ceremonial, hence neutral.",0.9348
2024-12-14 05:29:55+00:00,"Today, we mark the 100th birth anniversary of the legendary Raj Kapoor, a visionary filmmaker, actor and the eternal showman! His genius transcended generations, leaving an indelible mark on Indian and global cinema.",Welfare & Social Schemes,Neutral,"Mentions ration, which signals the 'Welfare & Social Schemes' domain. The tweet’s core content revolves around this policy area.","No strong praise/criticism/promise signals detected. The wording reads informational or ceremonial, hence neutral.",0.5707
2024-12-13 14:03:32+00:00,"In the coming days, Prayagraj will draw pilgrims and tourists from all over, for the Maha Kumbh. This iconic gathering is of great importance in our culture. In Prayagraj today, various works were inaugurated which will boost infrastructure and preparedness for the Kumbh.",Infrastructure & Transport,Making promises,"Mentions infrastructure, port, which signals the 'Infrastructure & Transport' domain. The tweet’s core content revolves around this policy area.","Future-tense commitment markers appear (e.g., 'will', 'guarantee', 'ensure'). The tweet frames the topic around pledged action.",0.8519
2024-12-13 12:54:49+00:00,"A memorable visit to the Saraswati Koop in Prayagraj! This ancient place is steeped in history and spirituality, reflecting the deep reverence for our heritage.",Law & Order / Corruption & Governance,Neutral,"Mentions ed , which signals the 'Law & Order / Corruption & Governance' domain. The tweet’s core content revolves around this policy area.","No strong praise/criticism/promise signals detected. The wording reads informational or ceremonial, hence neutral.",0.0
2024-12-13 12:50:11+00:00,Praying at the Shri Akshayavat Temple in Prayagraj was a very special experience. This eternal tree stands as a powerful symbol of divinity.,Identity / Religion / Caste & Reservation,Neutral,"Mentions temple, which signals the 'Identity / Religion / Caste & Reservation' domain. The tweet’s core content revolves around this policy area.","No strong praise/criticism/promise signals detected. The wording reads informational or ceremonial, hence neutral.",0.8999
2024-12-13 04:43:05+00:00,Paid homage to those martyred in the 2001 Parliament attack. Their sacrifice will forever inspire our nation. We remain eternally grateful for their courage and dedication.,Law & Order / Corruption & Governance,Making promises,"Mentions ed , which signals the 'Law & Order / Corruption & Governance' domain. The tweet’s core content revolves around this policy area.","Future-tense commitment markers appear (e.g., 'will', 'guarantee', 'ensure'). The tweet frames the topic around pledged action.",0.7783
2024-12-12 15:07:20+00:00,"Happy to receive Deputy PM &amp; Foreign Minister of the UAE, HH @ABZayed. India-UAE Comprehensive Strategic Partnership is poised to achieve unprecedented heights. We are committed to working towards peace, stability and security in West Asia and the wider region.",Law & Order / Corruption & Governance,Neutral,"Mentions ed , security, which signals the 'Law & Order / Corruption & Governance' domain. The tweet’s core content revolves around this policy area.","No strong praise/criticism/promise signals detected. The wording reads informational or ceremonial, hence neutral.",0.9287
2024-12-12 03:28:02+00:00,"Birthday wishes to Rajya Sabha MP and senior leader, Shri Sharad Pawar Ji. I pray for his long and healthy life. @PawarSpeaks",Healthcare & Public Health,Neutral,"Mentions health, which signals the 'Healthcare & Public Health' domain. The tweet’s core content revolves around this policy area.","No strong praise/criticism/promise signals detected. The wording reads informational or ceremonial, hence neutral.",0.6808
2024-12-12 03:25:11+00:00,"A good perspective on how Jal Jeevan Mission is furthering women empowerment, especially in our rural areas. With clean water at their doorstep, women can now focus on skill development and self-reliance.",Education & Youth,Neutral,"Mentions jee, skill, which signals the 'Education & Youth' domain. The tweet’s core content revolves around this policy area.","No strong praise/criticism/promise signals detected. The wording reads informational or ceremonial, hence neutral.",0.6808
2024-12-11 15:30:29+00:00,Thank you Sharmistha Ji for bringing back several memories of my interactions with Pranab Babu. I will always cherish my association with him. His insights and wisdom remain unparalleled. @Sharmistha_GK,Public Services & Urban Civic,Making promises,Keywords and phrasing align with 'Public Services & Urban Civic'. The tweet’s main focus is most consistent with this policy area.,"Future-tense commitment markers appear (e.g., 'will', 'guarantee', 'ensure'). The tweet frames the topic around pledged action.",0.8176
2024-12-11 14:20:29+00:00,Subramania Bharati was ahead of his time. He dreamt of advancements in areas like tech and innovation. Our Digital India programme is one example of how we are fulfilling his dream.,Digital/Technology & Innovation,Neutral,"Mentions digital, innovation, which signals the 'Digital/Technology & Innovation' domain. The tweet’s core content revolves around this policy area.","No strong praise/criticism/promise signals detected. The wording reads informational or ceremonial, hence neutral.",0.7269
2024-12-11 14:19:31+00:00,"The great Subramania Bharati immersed himself towards making India strong and prosperous. Taking inspiration from his vision, we are working to realise his dreams.",Welfare & Social Schemes,Neutral,"Mentions ration, which signals the 'Welfare & Social Schemes' domain. The tweet’s core content revolves around this policy area.","No strong praise/criticism/promise signals detected. The wording reads informational or ceremonial, hence neutral.",0.9559
2024-12-11 14:18:26+00:00,I commend Shri Seeni Viswanathan for his lifelong devotion to popularising the ideals of Subramania Bharati. Glad to have released his works today.,Law & Order / Corruption & Governance,Neutral,"Mentions ed , which signals the 'Law & Order / Corruption & Governance' domain. The tweet’s core content revolves around this policy area.","No strong praise/criticism/promise signals detected. The wording reads informational or ceremonial, hence neutral.",0.8979
2024-12-11 11:43:04+00:00,Addressing the young innovators at the Grand Finale of Smart India Hackathon 2024. The talent and ingenuity of our Yuva Shakti is remarkable.,Public Services & Urban Civic,Neutral,Keywords and phrasing align with 'Public Services & Urban Civic'. The tweet’s main focus is most consistent with this policy area.,"No strong praise/criticism/promise signals detected. The wording reads informational or ceremonial, hence neutral.",0.9022
2024-12-11 08:10:54+00:00,Honoured to release a compendium of Mahakavi Subramania Bharati's works. His vision for a prosperous India and the empowerment of every individual continues to inspire generations.,Welfare & Social Schemes,Neutral,"Mentions ration, which signals the 'Welfare & Social Schemes' domain. The tweet’s core content revolves around this policy area.","No strong praise/criticism/promise signals detected. The wording reads informational or ceremonial, hence neutral.",0.9001
2024-12-10 03:15:40+00:00,"I have had many opportunities to interact with Shri SM Krishna Ji over the years, and I will always cherish those interactions. I am deeply saddened by his passing. My condolences to his family and admirers. Om Shanti.",Infrastructure & Transport,Making promises,"Mentions port, which signals the 'Infrastructure & Transport' domain. The tweet’s core content revolves around this policy area.","Future-tense commitment markers appear (e.g., 'will', 'guarantee', 'ensure'). The tweet frames the topic around pledged action.",0.4951
2024-12-24 03:29:31+00:00,"Prioritising social welfare and empowerment, India has implemented transformative policies in various sectors. Our initiatives, such as the PM Awas Yojana and Matsya Sampada Yojana, have significantly improved the lives of countless people.",Welfare & Social Schemes,Neutral,"Mentions pm awas, welfare, yojana, which signals the 'Welfare & Social Schemes' domain. The tweet’s core content revolves around this policy area.","No strong praise/criticism/promise signals detected. The wording reads informational or ceremonial, hence neutral.",0.4767
2024-12-24 03:28:12+00:00,"Over the past decade, India has achieved transformative progress in poverty alleviation and economic growth. We are now empowering the Yuva and Nari Shakti, paving the way for a brighter and more confident future.","Economy, Jobs & Industry",Neutral,"Mentions growth, which signals the 'Economy, Jobs & Industry' domain. The tweet’s core content revolves around this policy area.","No strong praise/criticism/promise signals detected. The wording reads informational or ceremonial, hence neutral.",0.8016
2024-12-24 03:26:59+00:00,"The teachings of Jesus Christ celebrate love, harmony and brotherhood. We must unite to uphold harmony and confront challenges like violence and disruptions in society.",Foreign Policy & National Security,Neutral,"Mentions us , which signals the 'Foreign Policy & National Security' domain. The tweet’s core content revolves around this policy area.","No strong praise/criticism/promise signals detected. The wording reads informational or ceremonial, hence neutral.",0.836
2024-12-24 03:25:47+00:00,"When the COVID-19 pandemic struck, India went beyond its own capabilities to help numerous countries. We provided medicines to several countries across the world and sent vaccines to many nations.",Healthcare & Public Health,Praising themselves,"Mentions covid, medicine, which signals the 'Healthcare & Public Health' domain. The tweet’s core content revolves around this policy area.","Contains self-referential achievement cues (e.g., 'we have', 'inaugurated', 'delivered'). The tone highlights own party/government performance.",0.1779
2024-12-23 17:26:45+00:00,"Deeply saddened by the passing of Shri Shyam Benegal Ji, whose storytelling had a profound impact on Indian cinema. His works will continue to be admired by people from different walks of life. Condolences to his family and admirers. Om Shanti.",Law & Order / Corruption & Governance,Making promises,"Mentions ed , which signals the 'Law & Order / Corruption & Governance' domain. The tweet’s core content revolves around this policy area.","Future-tense commitment markers appear (e.g., 'will', 'guarantee', 'ensure'). The tweet frames the topic around pledged action.",0.3197
2024-12-23 15:41:50+00:00,"Interacted with Archbishops, Bishops and CBCI members. Also wished His Eminence, Oswald Cardinal Gracias for his 80th birthday.",Law & Order / Corruption & Governance,Neutral,"Mentions ed , which signals the 'Law & Order / Corruption & Governance' domain. The tweet’s core content revolves around this policy area.","No strong praise/criticism/promise signals detected. The wording reads informational or ceremonial, hence neutral.",0.0
2024-12-23 15:37:24+00:00,Interacted with the Cardinals during the CBCI Christmas programme. India is proud of their service to society.,Law & Order / Corruption & Governance,Praising themselves,"Mentions ed , which signals the 'Law & Order / Corruption & Governance' domain. The tweet’s core content revolves around this policy area.","Contains self-referential achievement cues (e.g., 'we have', 'inaugurated', 'delivered'). The tone highlights own party/government performance.",0.4767
2024-12-23 15:33:24+00:00,The CBCI Christmas celebrations brought together Christians from all walks of life. There were also soulful renditions of spiritual hymns and songs.,Welfare & Social Schemes,Neutral,"Mentions ration, which signals the 'Welfare & Social Schemes' domain. The tweet’s core content revolves around this policy area.","No strong praise/criticism/promise signals detected. The wording reads informational or ceremonial, hence neutral.",0.0
2024-12-23 13:52:56+00:00,Delighted to join a Christmas programme hosted by the Catholic Bishops Conference of India.,Law & Order / Corruption & Governance,Neutral,"Mentions ed , which signals the 'Law & Order / Corruption & Governance' domain. The tweet’s core content revolves around this policy area.","No strong praise/criticism/promise signals detected. The wording reads informational or ceremonial, hence neutral.",0.6705
2024-12-23 12:14:49+00:00,"In a short while from now, at around 6:30 PM, I look forward to joining the Christmas programme hosted by the Catholic Bishops Conference of India in New Delhi.",Law & Order / Corruption & Governance,Neutral,"Mentions ed , which signals the 'Law & Order / Corruption & Governance' domain. The tweet’s core content revolves around this policy area.","No strong praise/criticism/promise signals detected. The wording reads informational or ceremonial, hence neutral.",0.0
2024-12-23 05:26:59+00:00,Rozgar Melas are empowering the youth and unlocking their potential. Best wishes to the newly inducted appointees.,"Economy, Jobs & Industry",Neutral,"Mentions rozgar, which signals the 'Economy, Jobs & Industry' domain. The tweet’s core content revolves around this policy area.","No strong praise/criticism/promise signals detected. The wording reads informational or ceremonial, hence neutral.",0.7003
2024-12-22 14:36:36+00:00,Thank you Kuwait! This visit was historic and will greatly enhance our bilateral relations. I thank the Government and people of Kuwait for their warmth. I also thank the PM of Kuwait for the special gesture of coming to the airport for the see-off.,Infrastructure & Transport,Making promises,"Mentions airport, which signals the 'Infrastructure & Transport' domain. The tweet’s core content revolves around this policy area.","Future-tense commitment markers appear (e.g., 'will', 'guarantee', 'ensure'). The tweet frames the topic around pledged action.",0.9098
2024-12-22 14:29:43+00:00,"In Kuwait, met Mr. Fahad Ghazi Alabduljaleel, who is respected for his passion towards culture and history. He also has an India connection, with his forefathers having linkages with Surat, Mumbai and Kozhikode.",Law & Order / Corruption & Governance,Neutral,"Mentions ed , which signals the 'Law & Order / Corruption & Governance' domain. The tweet’s core content revolves around this policy area.","No strong praise/criticism/promise signals detected. The wording reads informational or ceremonial, hence neutral.",0.7269
